Limit,1,1,0,25.2,7.97872170212748,0.148541100830937,25.2,7.97872170212748,0.148541100830937,13,25,21,19,28,32,23,28,35,16,43,31,25,24,36,26,27,26,18,8,,13,25,21,19,28,32,23,28,35,16,43,31,25,24,36,26,27,26,18,8,,13,27,24,19,30,34,26,31,39,16,47,35,31,28,42,28,33,29,20,10,
populationSize,2,1,0,28.25,8.76284771064749,0.250906129675188,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,21,48,21,43,35,32,37,21,46,9,33,29,42,38,32,42,30,43,25,23,
10,3,1,0,25,7.46324326281812,0.141903586111212,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,32,35,41,27,16,21,14,26,18,26,22,19,30,32,12,22,24,36,26,21,,34,37,47,30,18,23,15,30,24,27,30,23,34,35,14,26,25,39,29,22,
elitism,4,1,0,24.4,7.3307571232445,0.133432739218578,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,25,34,26,26,36,25,15,21,22,34,11,30,31,27,15,22,32,13,15,28,,27,36,32,29,42,28,17,27,26,35,13,31,34,29,17,26,38,14,15,33,
2,5,1,0,25.8,6.11228271597445,0.146721635021333,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,22,28,38,39,31,27,23,31,27,17,27,29,22,24,28,13,19,24,22,25,,28,29,46,42,37,29,23,36,29,20,29,29,25,28,30,14,20,26,23,27,
mutationRate,6,1,0,26.45,7.1377517468738,0.166309201944276,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,19,22,32,27,30,34,19,21,21,27,22,34,32,39,26,15,33,39,20,17,,21,29,37,34,36,41,23,26,24,33,28,39,38,43,29,18,38,44,24,19,
0.01,7,1,0,26,10.2176318195558,0.186469761937849,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,12,29,30,46,35,33,27,6,37,43,14,26,24,28,30,14,27,25,12,22,,15,34,31,52,40,35,32,9,41,50,16,30,29,32,33,16,29,27,15,27,
generationLimit,8,1,0,26.3,6.8854919940408,0.16124057495055,28.25,8.76284771064749,0.250906129675188,18,40,15,38,33,29,34,20,38,8,27,25,36,33,28,36,27,39,20,21,,16,21,32,33,26,35,32,13,24,19,25,33,38,27,15,24,32,23,32,26,,17,25,35,33,29,40,40,16,26,22,29,36,45,30,18,29,39,24,34,34,
100,9,1,0,29.05,7.37885492471562,0.314407192505605,29.05,7.37885492471562,0.314407192505605,37,30,24,32,24,38,22,11,28,40,35,30,35,34,28,18,39,28,21,27,,37,30,24,32,24,38,22,11,28,40,35,30,35,34,28,18,39,28,21,27,,41,35,24,34,25,42,24,12,33,45,43,33,40,37,32,23,44,29,24,30,
moveLimit,10,1,0,27.7,7.00071424927486,0.207075116366774,29.05,7.37885492471562,0.314407192505605,37,30,24,32,24,38,22,11,28,40,35,30,35,34,28,18,39,28,21,27,,31,22,23,24,33,19,25,22,23,38,28,40,19,36,33,32,40,19,27,20,,33,24,25,31,39,22,30,23,23,40,30,44,21,41,40,38,45,21,28,21,
